"tax.Phylum"	"tax.Class"	"tax.Order"	"tax.Family"	"tax.Genus"	"otu.T1.dry"	"otu.T1.wet"	"otu.T1.dry.1"	"otu.T1.wet.1"	"otu.T1.dry.2"	"otu.T1.wet.2"	"otu.T7.dry"	"otu.T7.wet"	"otu.T7.dry.1"	"otu.T7.wet.1"	"otu.T7.dry.2"	"otu.T7.wet.2"	"otu.DF.dry"	"otu.DF.wet"	"otu.DF.dry.1"	"otu.DF.wet.1"	"otu.DF.dry.2"	"otu.CF.dry"	"otu.CF.wet"	"otu.CF.dry.1"	"otu.CF.wet.1"	"otu.CF.dry.2"	"otu.CF.wet.2"
"Otu3901"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Frankineae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3902"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3903"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3904"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Chitinophagaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3905"	"Proteobacteria"	"Deltaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Otu3906"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3907"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3908"	"Proteobacteria"	"Alphaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3909"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3910"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"Gemmatimonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3911"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Micromonosporineae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3912"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3913"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Otu3914"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3915"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3916"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enteric_Bacteria_cluster"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3917"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Otu3918"	"Verrucomicrobia"	"Spartobacteria"	"DA101"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3919"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	"Steroidobacter"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3920"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"uncultured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3921"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Otu3922"	"Actinobacteria"	"Actinobacteria"	"Acidimicrobidae"	"Acidimicrobiales"	"Acidimicrobineae"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3923"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3924"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Otu3925"	"Planctomycetes"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3926"	"Acidobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3927"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3928"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3929"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3930"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"uncultured"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3931"	"Verrucomicrobia"	"Spartobacteria"	"DA101"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3932"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3933"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3934"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3935"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Otu3936"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3937"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Propionibacterineae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3938"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3939"	"Verrucomicrobia"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Otu3940"	"Acidobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3941"	"Verrucomicrobia"	"Opitutae"	"Opitutales"	"Opitutaceae"	"Opitutus"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Otu3942"	"Actinobacteria"	"Actinobacteria"	"Rubrobacteridae"	"Solirubrobacterales"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Otu3943"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3944"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3945"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Otu3946"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Koribacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3947"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Sphingobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Otu3948"	"Proteobacteria"	"Alphaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Otu3949"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Otu3950"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3951"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3952"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Micrococcineae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3953"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Otu3954"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu3955"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"uncultured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Otu3956"	"Actinobacteria"	"Actinobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3957"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Cystobacterineae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Otu3958"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Pseudoaminobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Otu3959"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Otu3960"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3961"	"Proteobacteria"	"Alphaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3962"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3963"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3964"	"Planctomycetes"	"Phycisphaerae"	"WD2101"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3965"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3966"	"Bacteroidetes"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3967"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3968"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Otu3969"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3970"	"Acidobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3971"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3972"	"Proteobacteria"	"Alphaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3973"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Propionibacterineae"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3974"	"Proteobacteria"	"Alphaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3975"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Otu3976"	"Planctomycetes"	"Phycisphaerae"	"WD2101"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3977"	"Actinobacteria"	"Actinobacteria"	"Rubrobacteridae"	"Solirubrobacterales"	"Conexibacteraceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Otu3978"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3979"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3980"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3981"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3982"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3983"	"Actinobacteria"	"Actinobacteria"	"Rubrobacteridae"	"Solirubrobacterales"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3984"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3985"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3986"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"uncultured"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3987"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3988"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3989"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3990"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3991"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Sphingobacteriaceae"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3992"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu3993"	"Candidate_division_TM7"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3994"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Otu3995"	"Proteobacteria"	"Betaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3996"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3997"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu3998"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu3999"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Otu4000"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4001"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"0319-6G20"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4002"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu4003"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4004"	"Planctomycetes"	"Planctomycetacia"	"Planctomycetales"	"Planctomycetaceae"	"uncultured"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4005"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4006"	"Actinobacteria"	"Actinobacteria"	"Acidimicrobidae"	"Acidimicrobiales"	"Acidimicrobineae"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu4007"	"Proteobacteria"	"Betaproteobacteria"	"TRA3-20"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4008"	"Chloroflexi"	"KD4-96"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Otu4009"	"Chloroflexi"	"KD4-96"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4010"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4011"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4012"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"uncultured"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4013"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu4014"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4015"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4016"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Propionibacterineae"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4017"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4018"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4019"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4020"	"Proteobacteria"	"Deltaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu4021"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"uncultured"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4022"	"Actinobacteria"	"Actinobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4023"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4024"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4025"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Dokdonella"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4026"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu4027"	"Proteobacteria"	"Betaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4028"	"Actinobacteria"	"Actinobacteria"	"Rubrobacteridae"	"AKIW543"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu4029"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Otu4030"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4031"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4032"	"Bacteroidetes"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu4033"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4034"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"uncultured"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Otu4035"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu4036"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu4037"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Micrococcineae"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Otu4038"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Micromonosporineae"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
